127.0.0.1 - - [16/Jun/2023:10:05:22 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [16/Jun/2023:10:05:29 +0900] "GET /jm_prj_w_230511/startMain.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [16/Jun/2023:10:05:29 +0900] "GET /jm_prj_w_230511/cafe_proj_cafeMain.jsp HTTP/1.1" 200 348704
0:0:0:0:0:0:0:1 - - [16/Jun/2023:10:05:30 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [16/Jun/2023:10:08:23 +0900] "POST /jm_prj_w_230511/cafe_logInOK HTTP/1.1" 200 198
0:0:0:0:0:0:0:1 - - [16/Jun/2023:10:08:28 +0900] "POST /jm_prj_w_230511/cafe_logInOK HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [16/Jun/2023:10:08:28 +0900] "GET /jm_prj_w_230511/startMain.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [16/Jun/2023:10:08:28 +0900] "GET /jm_prj_w_230511/cafe_proj_cafeMain.jsp HTTP/1.1" 200 348814
0:0:0:0:0:0:0:1 - - [16/Jun/2023:10:08:34 +0900] "GET /jm_prj_w_230511/view.do?no=41 HTTP/1.1" 200 25087
0:0:0:0:0:0:0:1 - - [16/Jun/2023:10:08:34 +0900] "GET /jm_prj_w_230511/css/view.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Jun/2023:10:08:34 +0900] "GET /jm_prj_w_230511/js/view.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Jun/2023:10:08:36 +0900] "GET /jm_prj_w_230511/view.do?no=41 HTTP/1.1" 200 25091
0:0:0:0:0:0:0:1 - - [16/Jun/2023:10:08:38 +0900] "GET /jm_prj_w_230511/view.do?no=41 HTTP/1.1" 200 25095
0:0:0:0:0:0:0:1 - - [16/Jun/2023:10:08:40 +0900] "GET /jm_prj_w_230511/view.do?no=41 HTTP/1.1" 200 25088
0:0:0:0:0:0:0:1 - - [16/Jun/2023:10:08:43 +0900] "GET /jm_prj_w_230511/modify.do HTTP/1.1" 200 677
0:0:0:0:0:0:0:1 - - [16/Jun/2023:10:08:46 +0900] "POST /jm_prj_w_230511/Pwchk?mode=postModi HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [16/Jun/2023:10:08:46 +0900] "GET /jm_prj_w_230511/modifyPost.jsp HTTP/1.1" 200 12118
0:0:0:0:0:0:0:1 - - [16/Jun/2023:10:13:08 +0900] "GET /jm_prj_w_230511/modifyPost.jsp HTTP/1.1" 200 12118
0:0:0:0:0:0:0:1 - - [16/Jun/2023:10:13:10 +0900] "GET /jm_prj_w_230511/modifyPost.jsp HTTP/1.1" 200 12118
0:0:0:0:0:0:0:1 - - [16/Jun/2023:10:13:12 +0900] "GET /jm_prj_w_230511/modifyPost.jsp HTTP/1.1" 200 12118
0:0:0:0:0:0:0:1 - - [16/Jun/2023:10:13:12 +0900] "GET /jm_prj_w_230511/js/jquery-3.6.4.js HTTP/1.1" 200 292458
0:0:0:0:0:0:0:1 - - [16/Jun/2023:10:13:12 +0900] "GET /jm_prj_w_230511/css/modifyPost.css HTTP/1.1" 200 5289
0:0:0:0:0:0:0:1 - - [16/Jun/2023:10:13:12 +0900] "GET /jm_prj_w_230511/js/modifyPost.js HTTP/1.1" 200 841
0:0:0:0:0:0:0:1 - - [16/Jun/2023:10:13:13 +0900] "GET /jm_prj_w_230511/image_src/newPosting/hd-wallpaper-g52c614daf_1920.jpg HTTP/1.1" 200 503101
0:0:0:0:0:0:0:1 - - [16/Jun/2023:10:13:13 +0900] "GET /jm_prj_w_230511/image_src/newPosting/feet-g8989fb746_640.png HTTP/1.1" 200 78817
0:0:0:0:0:0:0:1 - - [16/Jun/2023:10:13:13 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [16/Jun/2023:10:13:15 +0900] "GET /jm_prj_w_230511/modifyPost.jsp HTTP/1.1" 200 12118
0:0:0:0:0:0:0:1 - - [16/Jun/2023:10:13:15 +0900] "GET /jm_prj_w_230511/js/modifyPost.js HTTP/1.1" 200 841
0:0:0:0:0:0:0:1 - - [16/Jun/2023:10:13:15 +0900] "GET /jm_prj_w_230511/js/jquery-3.6.4.js HTTP/1.1" 200 292458
0:0:0:0:0:0:0:1 - - [16/Jun/2023:10:13:15 +0900] "GET /jm_prj_w_230511/css/modifyPost.css HTTP/1.1" 200 5289
0:0:0:0:0:0:0:1 - - [16/Jun/2023:10:13:15 +0900] "GET /jm_prj_w_230511/image_src/newPosting/hd-wallpaper-g52c614daf_1920.jpg HTTP/1.1" 200 503101
0:0:0:0:0:0:0:1 - - [16/Jun/2023:10:13:15 +0900] "GET /jm_prj_w_230511/image_src/newPosting/feet-g8989fb746_640.png HTTP/1.1" 200 78817
0:0:0:0:0:0:0:1 - - [16/Jun/2023:10:13:16 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [16/Jun/2023:10:13:18 +0900] "GET /jm_prj_w_230511/modifyPost.jsp HTTP/1.1" 200 11774
0:0:0:0:0:0:0:1 - - [16/Jun/2023:10:15:05 +0900] "GET /jm_prj_w_230511/startMain.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [16/Jun/2023:10:15:05 +0900] "GET /jm_prj_w_230511/cafe_proj_cafeMain.jsp HTTP/1.1" 200 348814
0:0:0:0:0:0:0:1 - - [16/Jun/2023:10:15:05 +0900] "GET /jm_prj_w_230511/js/cafe_pro_cafeMain.js HTTP/1.1" 200 85
0:0:0:0:0:0:0:1 - - [16/Jun/2023:10:15:05 +0900] "GET /jm_prj_w_230511/css/cafe_pro_cafeMain.css?after HTTP/1.1" 200 5854
0:0:0:0:0:0:0:1 - - [16/Jun/2023:10:15:05 +0900] "GET /jm_prj_w_230511/audio_src/Kalimba.mp3 HTTP/1.1" 206 8353615
0:0:0:0:0:0:0:1 - - [16/Jun/2023:10:15:05 +0900] "GET /jm_prj_w_230511/image_src/main/hd-wallpaper-g52c614daf_1920.jpg HTTP/1.1" 200 503101
0:0:0:0:0:0:0:1 - - [16/Jun/2023:10:15:05 +0900] "GET /jm_prj_w_230511/image_src/main/nav_src/feet-g8989fb746_640.png HTTP/1.1" 200 78817
0:0:0:0:0:0:0:1 - - [16/Jun/2023:10:15:08 +0900] "GET /jm_prj_w_230511/view.do?no=41 HTTP/1.1" 200 25088
0:0:0:0:0:0:0:1 - - [16/Jun/2023:10:15:08 +0900] "GET /jm_prj_w_230511/css/view.css HTTP/1.1" 200 11661
0:0:0:0:0:0:0:1 - - [16/Jun/2023:10:15:08 +0900] "GET /jm_prj_w_230511/image_src/showAllPost/dolphin-g4b22bff55_1920-removebg-preview.png HTTP/1.1" 200 148257
0:0:0:0:0:0:0:1 - - [16/Jun/2023:10:15:08 +0900] "GET /jm_prj_w_230511/audio_src/Kalimba.mp3 HTTP/1.1" 206 8222544
0:0:0:0:0:0:0:1 - - [16/Jun/2023:10:15:08 +0900] "GET /jm_prj_w_230511/image_src/showAllPost/owl-g7a1ed8deb_1280-removebg-preview.png HTTP/1.1" 200 190853
0:0:0:0:0:0:0:1 - - [16/Jun/2023:10:15:08 +0900] "GET /jm_prj_w_230511/image_src/showAllPost/feet-g8989fb746_640.png HTTP/1.1" 200 78817
0:0:0:0:0:0:0:1 - - [16/Jun/2023:10:15:08 +0900] "GET /jm_prj_w_230511/image_src/showAllPost/ladybug-g4d07e2ff5_1280-removebg-preview.png HTTP/1.1" 200 37843
0:0:0:0:0:0:0:1 - - [16/Jun/2023:10:15:08 +0900] "GET /jm_prj_w_230511/js/view.js HTTP/1.1" 200 2429
0:0:0:0:0:0:0:1 - - [16/Jun/2023:10:15:11 +0900] "GET /jm_prj_w_230511/replyPost.do?reSubNo=1&reIndentNo=0&rePostLimitNo=0 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [16/Jun/2023:10:15:13 +0900] "GET /jm_prj_w_230511/cafe_pro_replyPosting.jsp HTTP/1.1" 200 14368
0:0:0:0:0:0:0:1 - - [16/Jun/2023:10:15:13 +0900] "GET /jm_prj_w_230511/js/cafe_pro_newPosting.js HTTP/1.1" 200 351
0:0:0:0:0:0:0:1 - - [16/Jun/2023:10:15:13 +0900] "GET /jm_prj_w_230511/css/cafe_pro_newPosting.css HTTP/1.1" 200 5366
0:0:0:0:0:0:0:1 - - [16/Jun/2023:10:15:13 +0900] "GET /jm_prj_w_230511/audio_src/Kalimba.mp3 HTTP/1.1" 206 8222544
0:0:0:0:0:0:0:1 - - [16/Jun/2023:10:15:25 +0900] "GET /jm_prj_w_230511/view.do?no=41 HTTP/1.1" 200 25088
0:0:0:0:0:0:0:1 - - [16/Jun/2023:10:15:25 +0900] "GET /jm_prj_w_230511/audio_src/Kalimba.mp3 HTTP/1.1" 206 6190927
0:0:0:0:0:0:0:1 - - [16/Jun/2023:10:15:28 +0900] "GET /jm_prj_w_230511/modify.do HTTP/1.1" 200 677
0:0:0:0:0:0:0:1 - - [16/Jun/2023:10:15:30 +0900] "POST /jm_prj_w_230511/Pwchk?mode=postModi HTTP/1.1" 302 -
