127.0.0.1 - - [22/Jun/2023:10:07:03 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [22/Jun/2023:10:07:14 +0900] "GET /jm_prj_w_230511/startMain.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [22/Jun/2023:10:07:14 +0900] "GET /jm_prj_w_230511/cafe_proj_cafeMain.jsp HTTP/1.1" 200 527675
0:0:0:0:0:0:0:1 - - [22/Jun/2023:10:07:14 +0900] "GET /jm_prj_w_230511/css/cafe_pro_cafeMain.css?after HTTP/1.1" 200 7354
0:0:0:0:0:0:0:1 - - [22/Jun/2023:10:07:15 +0900] "GET /jm_prj_w_230511/js/cafe_pro_cafeMain.js HTTP/1.1" 200 87
0:0:0:0:0:0:0:1 - - [22/Jun/2023:10:07:15 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [22/Jun/2023:10:07:45 +0900] "GET /jm_prj_w_230511/cafe_pro_logIn.html HTTP/1.1" 200 2547
0:0:0:0:0:0:0:1 - - [22/Jun/2023:10:07:45 +0900] "GET /jm_prj_w_230511/js/cafe_pro_logIn.js HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [22/Jun/2023:10:07:45 +0900] "GET /jm_prj_w_230511/css/cafe_pro_logIn.css HTTP/1.1" 200 2139
0:0:0:0:0:0:0:1 - - [22/Jun/2023:10:07:45 +0900] "GET /jm_prj_w_230511/video_src/logIn/istock-866276848_preview.mp4 HTTP/1.1" 206 1999338
0:0:0:0:0:0:0:1 - - [22/Jun/2023:10:07:53 +0900] "POST /jm_prj_w_230511/cafe_logInOK HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [22/Jun/2023:10:07:53 +0900] "GET /jm_prj_w_230511/startMain.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [22/Jun/2023:10:07:53 +0900] "GET /jm_prj_w_230511/cafe_proj_cafeMain.jsp HTTP/1.1" 200 527793
0:0:0:0:0:0:0:1 - - [22/Jun/2023:10:07:59 +0900] "GET /jm_prj_w_230511/css/showList.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Jun/2023:10:07:59 +0900] "GET /jm_prj_w_230511/js/showList.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Jun/2023:10:07:59 +0900] "GET /jm_prj_w_230511/image_src/showAllPost/arrow-right-ga680cb928_640.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Jun/2023:10:07:59 +0900] "GET /jm_prj_w_230511/showList.do HTTP/1.1" 200 170473
0:0:0:0:0:0:0:1 - - [22/Jun/2023:10:30:21 +0900] "GET /jm_prj_w_230511/showList.do HTTP/1.1" 500 2821
0:0:0:0:0:0:0:1 - - [22/Jun/2023:10:31:15 +0900] "GET /jm_prj_w_230511/showList.do HTTP/1.1" 200 170710
