127.0.0.1 - - [23/Jun/2023:10:01:19 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [23/Jun/2023:10:01:26 +0900] "GET /jm_prj_w_230511/startMain.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [23/Jun/2023:10:01:26 +0900] "GET /jm_prj_w_230511/cafe_proj_cafeMain.jsp HTTP/1.1" 200 534378
0:0:0:0:0:0:0:1 - - [23/Jun/2023:10:01:26 +0900] "GET /jm_prj_w_230511/css/cafe_pro_cafeMain.css?after HTTP/1.1" 200 7354
0:0:0:0:0:0:0:1 - - [23/Jun/2023:10:01:26 +0900] "GET /jm_prj_w_230511/js/cafe_pro_cafeMain.js HTTP/1.1" 200 87
0:0:0:0:0:0:0:1 - - [23/Jun/2023:10:01:27 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [23/Jun/2023:10:01:30 +0900] "GET /jm_prj_w_230511/cafe_pro_logIn.html HTTP/1.1" 200 2547
0:0:0:0:0:0:0:1 - - [23/Jun/2023:10:01:30 +0900] "GET /jm_prj_w_230511/js/cafe_pro_logIn.js HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [23/Jun/2023:10:01:30 +0900] "GET /jm_prj_w_230511/video_src/logIn/istock-866276848_preview.mp4 HTTP/1.1" 206 1999338
0:0:0:0:0:0:0:1 - - [23/Jun/2023:10:01:30 +0900] "GET /jm_prj_w_230511/css/cafe_pro_logIn.css HTTP/1.1" 200 2139
0:0:0:0:0:0:0:1 - - [23/Jun/2023:10:01:34 +0900] "GET /jm_prj_w_230511/cafe_findPw.jsp HTTP/1.1" 200 1310
0:0:0:0:0:0:0:1 - - [23/Jun/2023:10:01:37 +0900] "GET /jm_prj_w_230511/cafe_findId.jsp HTTP/1.1" 200 1293
0:0:0:0:0:0:0:1 - - [23/Jun/2023:10:01:53 +0900] "GET /jm_prj_w_230511/cafe_pro_joinToCafe.html HTTP/1.1" 200 3622
0:0:0:0:0:0:0:1 - - [23/Jun/2023:10:01:53 +0900] "GET /jm_prj_w_230511/video_src/cafeJoin/istock-866276848_preview.mp4 HTTP/1.1" 206 1999338
0:0:0:0:0:0:0:1 - - [23/Jun/2023:10:01:53 +0900] "GET /jm_prj_w_230511/css/cafe_pro_joinToCafe.css HTTP/1.1" 200 2252
0:0:0:0:0:0:0:1 - - [23/Jun/2023:10:01:53 +0900] "GET /jm_prj_w_230511/js/cafe_pro_joinToCafe.js HTTP/1.1" 200 1256
0:0:0:0:0:0:0:1 - - [23/Jun/2023:10:02:00 +0900] "POST /jm_prj_w_230511/cafe_logInOK HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [23/Jun/2023:10:02:00 +0900] "GET /jm_prj_w_230511/startMain.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [23/Jun/2023:10:02:00 +0900] "GET /jm_prj_w_230511/cafe_proj_cafeMain.jsp HTTP/1.1" 200 534496
0:0:0:0:0:0:0:1 - - [23/Jun/2023:10:02:05 +0900] "GET /jm_prj_w_230511/cafe_pro_PWPass_info.jsp?mode=editInfo HTTP/1.1" 200 7104
0:0:0:0:0:0:0:1 - - [23/Jun/2023:10:02:05 +0900] "GET /jm_prj_w_230511/css/PWPass_info.css HTTP/1.1" 200 5794
0:0:0:0:0:0:0:1 - - [23/Jun/2023:10:02:05 +0900] "GET /jm_prj_w_230511/image_src/showAllPost/black-circle-g15db91f27_640.png HTTP/1.1" 200 22037
0:0:0:0:0:0:0:1 - - [23/Jun/2023:10:03:19 +0900] "GET /jm_prj_w_230511/cafe_pro_PWPass_info.jsp?mode=editInfo HTTP/1.1" 200 7104
0:0:0:0:0:0:0:1 - - [23/Jun/2023:10:03:22 +0900] "GET /jm_prj_w_230511/cafe_pro_PWPass_info.jsp?mode=editInfo HTTP/1.1" 200 7104
0:0:0:0:0:0:0:1 - - [23/Jun/2023:10:03:22 +0900] "GET /jm_prj_w_230511/cafe_pro_PWPass_info.jsp?mode=editInfo HTTP/1.1" 200 7097
0:0:0:0:0:0:0:1 - - [23/Jun/2023:10:03:23 +0900] "GET /jm_prj_w_230511/cafe_pro_PWPass_info.jsp?mode=editInfo HTTP/1.1" 200 7097
0:0:0:0:0:0:0:1 - - [23/Jun/2023:10:03:24 +0900] "GET /jm_prj_w_230511/cafe_pro_PWPass_info.jsp?mode=editInfo HTTP/1.1" 200 7097
