0:0:0:0:0:0:0:1 - - [13/Jun/2023:10:25:22 +0900] "GET /jm_prj_w_230511/audio_src/Kalimba.mp3 HTTP/1.1" 206 8353615
0:0:0:0:0:0:0:1 - - [13/Jun/2023:10:25:22 +0900] "GET /jm_prj_w_230511/image_src/showAllPost/feet-g8989fb746_640.png HTTP/1.1" 200 78817
0:0:0:0:0:0:0:1 - - [13/Jun/2023:10:25:23 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [13/Jun/2023:10:25:24 +0900] "GET /jm_prj_w_230511/view.do?no=27 HTTP/1.1" 200 89161
0:0:0:0:0:0:0:1 - - [13/Jun/2023:10:25:32 +0900] "GET /jm_prj_w_230511/view.do?no=27 HTTP/1.1" 200 89161
0:0:0:0:0:0:0:1 - - [13/Jun/2023:10:35:51 +0900] "GET /jm_prj_w_230511/view.do?no=27 HTTP/1.1" 200 89072
0:0:0:0:0:0:0:1 - - [13/Jun/2023:10:36:54 +0900] "GET /jm_prj_w_230511/view.do?no=27 HTTP/1.1" 200 90325
0:0:0:0:0:0:0:1 - - [13/Jun/2023:10:36:54 +0900] "GET /jm_prj_w_230511/css/view.css HTTP/1.1" 200 10516
0:0:0:0:0:0:0:1 - - [13/Jun/2023:10:36:54 +0900] "GET /jm_prj_w_230511/js/jquery-3.6.4.js HTTP/1.1" 200 292458
0:0:0:0:0:0:0:1 - - [13/Jun/2023:10:36:54 +0900] "GET /jm_prj_w_230511/js/view.js HTTP/1.1" 200 1523
0:0:0:0:0:0:0:1 - - [13/Jun/2023:10:36:54 +0900] "GET /jm_prj_w_230511/image_src/showAllPost/dolphin-g4b22bff55_1920-removebg-preview.png HTTP/1.1" 200 148257
0:0:0:0:0:0:0:1 - - [13/Jun/2023:10:36:54 +0900] "GET /jm_prj_w_230511/image_src/showAllPost/lama-g8860e410c_1280-removebg-preview_bw.png HTTP/1.1" 200 80918
